Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred
71,13,21.179551,92.141002,3.9,2020,25.0,41.0,20.0,9.5,8.4,3.9,Soil or Earth,Fall,Active,Advancing,Successive,7.291358195211904,7.373623540372144,7.47752015914034,1.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,19.0,161.0,1
72,13,21.179959,92.139346,12.0,2020,48.0,60.0,15.0,16.1,22.0,12.0,Soil or Earth,Slide,Reactivated,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,2.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,161.0,1
73,13,21.180073,92.137928,18.0,2020,70.0,45.0,30.0,19.2,27.0,18.0,Soil or Earth,Slide,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,2.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,26.0,161.0,1
74,13,21.179806,92.139079,15.0,2018,70.0,15.0,45.0,16.0,20.0,15.0,Soil or Earth,Slide,Active,Advancing,Successive,6.036085725945588,6.118351071105828,6.22224769381081,1.0,1.0,1322.194580078125,1597.94091796875,2029.8190917968752,29.0,161.0,1
75,13,21.179759,92.138198,15.0,2020,55.0,40.0,32.0,18.3,20.0,15.0,Soil or Earth,Slide,Active,Advancing,Successive,6.036085725945588,7.118351058204512,7.222247674285502,2.0,4.0,1322.194580078125,1597.94091796875,2029.8190917968752,22.0,161.0,1
76,9,21.192636,92.156608,5.8,2020,22.0,44.0,17.0,13.5,12.0,5.8,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.339278468367474,6.42124058419111,6.524804420104004,1.0,5.0,1328.79541015625,1604.7974853515625,2036.9674072265625,22.0,371.0,1
77,9,21.1925,92.157062,7.0,2020,32.0,50.0,16.0,14.8,13.0,7.0,Soil or Earth,Slide,Active,Advancing,Successive,6.35282222738114,6.432877268756444,6.53435072142287,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,21.12079620361328,371.0,1
78,9,21.192122,92.157098,6.2,2020,28.0,50.0,13.0,12.5,10.0,6.2,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.35282222738114,6.432877268756444,6.53435072142287,1.0,2.0,1370.8876953125,1648.37841796875,2082.238037109375,21.12079620361328,371.0,1
79,9,21.192624,92.157707,8.0,2020,28.0,60.0,25.0,14.5,12.0,8.0,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.051792231717158,6.131847273092464,6.233320725758888,1.0,3.0,1370.8876953125,1648.37841796875,2082.238037109375,22.0,371.0,1
80,9,21.192863,92.156355,15.0,2018,45.0,40.0,150.0,21.2,40.0,15.0,Soil or Earth,Slide,Active,Advancing,Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,3.0,1328.79541015625,1604.7974853515625,2036.9674072265625,24.0,371.0,1
