FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_
434,435, , , , , , ,Rangamati,435,Unrecognized,2014, ,0,0, ,1991, 
435,436, , , , , , ,Rangamati,436,Unrecognized,2015, ,0,0, ,44949, 
436,437, , , , , , ,Rangamati,437,Unrecognized,2014, ,0,0, ,16757, 
437,438, , , , , , ,Rangamati,438,Unrecognized,2014, ,0,0, ,4307, 
438,439, , , , , , ,Rangamati,439,Unrecognized,2014, ,0,0, ,2808, 
439,440, , , , , , ,Rangamati,440,Unrecognized,2016, ,0,0, ,3945, 
440,441,"Sheikh Russel Eco Park, Kaptai, Rangamati",Active,Wet,Mixture,Nil,Low,Rangamati,441,Fall,13/06/2017,Widening,0,1,Nil,391,Rainfall and Road Cut
441,442,"Boroichari, Fish Check Post, Kaptai, Rangamati",Active,Wet,Soil,Nil,Low,Rangamati,442,Slide,13/06/2017,Advancing,0,0,Nil,28,Rainfall
442,443,"Noapara Buddhist Temple, Kaptai, Rangamati",Active,Wet,Soil,Nil,Low,Rangamati,443,Slide,13/06/2017,Advancing,0,3,Medium,440,Rainfall and Hill Cutting
443,444,"Noapara, Boroichari, Kaptai, Rangamati",Active,Wet,Soil,Medium,Medium,Rangamati,444,Fall,13/06/2017,Advancing,0,0,Nil,379,Rainfall
444,445,"Marma para, Boroichari, Kaptai, Rangmati",Active,Wet,Debris,Nil,Low,Rangamati,445,Flow,13/06/2017,Diminishing,0,2,Low,232,Rainfall
445,446,"Noapara, Boroichari, Kaptai, Rangamati",Active,Wet,Soil,Nil,Low,Rangamati,446,Flow,13/06/2017,Advancing,0,1,Low,257,Rainfall
446,447,"Boroichari, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,447,Flow,13/06/2017,Advancing,0,1,Low,565,Rainfall
447,448,"Boroichari Sarbojanin Buddisht Temple, Kaptai",Active,Wet,Debris,Low,Medium,Rangamati,448,Flow,13/06/2017,Advancing,0,1,Low,527,Rainfall
448,449,"Boroichari Sarbojanin Buddisht Temple, Kaptai",Active,Wet,Soil,Low,Low,Rangamati,449,Slide,13/06/2017,Advancing,0,0,Nil,141,Rainfall
449,450,"Boroichari, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,450,Flow,13/06/2017,Advancing,0,0,Nil,187,Rainfall
450,451,"Boroichari Market, Marma Para, Kaptai",Active,Wet,Soil,Low,High,Rangamati,451,Fall,13/06/2017,Advancing,0,5,High,137,Rainfall
