Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,,,,,,,,,,,,,,,
79,9,21.192624,92.157707,8.00,2020,28,60,25.0,14.5,12.0,8.0,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
80,9,21.192863,92.156355,15.00,2018,45,40,150.0,21.2,40.0,15.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
81,10,21.188969,92.153565,10.00,2020,21,40,30.0,32.0,25.0,10.0,Soil or Earth,Slide,Dormant ,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
82,10,21.188928,92.155890,4.20,2020,20,45,20.0,12.2,8.0,4.2,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
83,10,21.189414,92.154805,4.50,2017,17,40,20.0,15.2,10.1,4.5,Soil or Earth,Slide,Dormant ,Confined,Complex,,,,,,,,,,,,,,,
84,10,21.189903,92.154987,14.90,2020,13,44,20.0,35.0,30.0,14.9,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
85,10,21.190152,92.155039,5.90,2020,14,42,12.0,14.0,12.0,5.9,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
86,10,21.187066,92.152565,8.00,2020,50,60,25.0,10.4,17.0,8.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
87,10,21.186741,92.153447,18.00,2020,38,60,80.0,29.2,27.0,18.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
88,10,21.187277,92.155118,8.00,2020,35,60,25.0,13.9,15.0,8.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
89,11,21.183062,92.158429,4.60,2020,14,40,22.6,10.7,9.6,4.6,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
90,11,21.183536,92.158118,14.90,2020,15,85,25.0,15.1,5.6,14.9,Debris,Fall,Active,Enlarging,Successive,,,,,,,,,,,,,,,
91,11,21.183505,92.156211,7.20,2020,18,50,18.0,15.2,12.1,7.2,Soil or Earth,Slide,Dormant ,Confined,Successive,,,,,,,,,,,,,,,
