Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MonthlyRainfall
2006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,114.0
2006,5,0.0,0.0,0.0,0.0,29.0,0.0,24.0,15.0,0.0,12.0,6.0,31.0,19.0,0.0,34.0,0.0,8.0,0.0,0.0,34.0,0.0,0.0,0.0,11.0,2.0,172.0,135.0,46.0,45.0,167.0,10.0,800.0
2006,6,12.0,9.0,0.0,1.0,43.0,63.0,31.0,79.0,80.0,68.0,113.0,0.0,5.0,42.0,72.0,17.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,3.0,0.0,662.0
2006,7,1.0,7.0,1.0,106.0,42.0,0.0,9.0,0.0,100.0,134.0,64.0,76.0,14.0,0.0,26.0,13.0,10.0,2.0,3.0,46.0,17.0,18.0,0.0,10.0,0.0,0.0,35.0,25.0,25.0,18.0,0.0,802.0
2006,8,1.0,1.0,4.0,1.0,3.0,0.0,13.0,36.0,15.0,2.0,13.0,1.0,12.0,15.0,27.0,0.0,4.0,4.0,7.0,12.0,19.0,66.0,64.0,7.0,12.0,0.0,0.0,0.0,1.0,44.0,1.0,385.0
2006,9,5.0,45.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,4.0,89.0,77.0,126.0,214.0,12.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,678.0
2006,10,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,78.0
2006,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2006,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,2,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
2007,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,100.0
2007,5,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,0.0,0.0,18.0,107.0,0.0,0.0,2.0,0.0,64.0,116.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0
2007,6,0.0,0.0,0.0,1.0,22.0,35.0,2.0,6.0,13.0,18.0,43.0,101.0,80.0,42.0,88.0,17.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,131.0,0.0,640.0
2007,7,188.0,74.0,65.0,100.0,90.0,107.0,55.0,24.0,40.0,4.0,0.0,0.0,0.0,2.0,4.0,51.0,23.0,46.0,13.0,77.0,79.0,34.0,70.0,63.0,21.0,29.0,2.0,1.0,9.0,0.0,3.0,1274.0
2007,8,5.0,14.0,0.0,6.0,0.0,0.0,26.0,22.0,0.0,34.0,10.0,30.0,66.0,15.0,12.0,11.0,29.0,3.0,16.0,3.0,0.0,0.0,3.0,24.0,50.0,32.0,47.0,6.0,0.0,29.0,33.0,526.0
2007,9,5.0,3.0,0.0,2.0,16.0,55.0,159.0,29.0,10.0,6.0,41.0,11.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,1.0,0.0,9.0,26.0,3.0,0.0,0.0,0.0,12.0,2.0,0.0,409.0
2007,10,18.0,0.0,1.0,0.0,3.0,1.0,25.0,170.0,4.0,10.0,9.0,0.0,0.0,7.0,21.0,49.0,119.0,34.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0
2007,11,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,22.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
2007,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
