fid,fid_new1,fclass,name,maxspeed,length,combined_id_min,combined_id_max,DN_mean,time_needed (min)
"13476","13476",track,,"10","82.3861973078061","50580","50581","6.5","0.494317183846836"
"13477","13477",residential,,"10","69.5493368797787","50585","50591","6","0.417296021278672"
"13478","13478",residential,,"10","36.4778443186117","50589","50591","6","0.21886706591167"
"13480","13480",track,,"10","217.569862397944","50595","50597","6.5","1.30541917438766"
"13481","13481",residential,,"10","22.7660565254136","50600","50605","6","0.136596339152482"
"13482","13482",residential,,"10","9.9898311560442","50603","50605","6.5","0.0599389869362652"
"13483","13483",path,,"10","79.5773594515613","50608","50609","6.5","0.477464156709368"
"13484","13484",path,,"10","41.3295570001008","50612",HF_114,"6","0.247977342000605"
"13485","13485",track,,"10","83.4936408836138","50621",HF_443,"7","0.500961845301683"
"13486","13486",track,,"10","83.4936408836138","50617",HF_443,"7","0.500961845301683"
"13487","13487",path,,"10","29.8969844828208","50621","50624","7","0.179381906896925"
"13488","13488",path,,"10","3.87133996876234","50624",HF_143,"7","0.023228039812574"
"13490","13490",path,,"10","63.01619385598","50629","50632","6.5","0.37809716313588"
"13491","13491",path,,"10","111.537827297616","50635","50640","6","0.669226963785698"
"13492","13492",path,,"10","110.354434492744","50637","50640","6.5","0.662126606956463"
"13493","13493",path,,"10","28.5951705110036","50644","50648","8","0.171571023066021"
"13494","13494",path,,"10","17.3162689295375","50648",CXB-207_A047 _07,"7.666667","0.103897613577225"
"13495","13495",path,,"10","23.5729421151031","50654",CXB-207_A047 _07,"8","0.141437652690619"
"13496","13496",path,,"10","37.4568960713981","50654","50655","7.5","0.224741376428389"
"13497","13497",path,,"10","64.693194171371","50661","50663","7","0.388159165028226"
"13498","13498",path,,"10","19.2376196139995","50669","50673","6.5","0.115425717683997"
"13499","13499",path,,"10","69.4903527407943","50669","50671","6.5","0.416942116444766"
"13500","13500",path,,"10","73.3747840754969","50673",CXB-207_B048 _03,"7","0.440248704452982"
"13501","13501",path,,"10","73.3747840754969","50682",CXB-207_B048 _03,"6.5","0.440248704452982"
"13502","13502",path,,"10","20.7098536932449","50681","50682","6","0.124259122159469"
"13503","13503",path,,"10","12.9559018720805","50688","51384","7.5","0.077735411232483"
"13504","13504",path,,"10","28.2996952320084","50688","50693","7.5","0.16979817139205"
"13505","13505",path,,"10","1.84655632424207","50691","50693","7","0.0110793379454524"
"13506","13506",path,,"10","13.4888342969058","49527","50696","7","0.0809330057814351"
"13507","13507",path,,"10","11.5812839175514","49527","52641","7","0.0694877035053086"
"13508","13508",path,,"10","27.0411105865673","50701","52641","7","0.162246663519404"
"13509","13509",track,,"10","10.9006431192963","50707","50713","8","0.0654038587157778"
