roadID,node1,node2,node1_Xcoord,node1_Ycoord,node2_Xcoord,node2_Ycoord,DN_mean,length,isHealthcare1,isHealthcare2
16386,55641,60272,21.195183,92.143989,21.195131,92.143994,6.0,5.83,False,False
16387,60272,60276,21.195131,92.143994,21.194784,92.143982,6.0,38.343,False,False
16388,55664,60276,21.194746,92.14398,21.194784,92.143982,6.0,4.31,False,False
16389,60280,60281,21.188301,92.136167,21.188638,92.135912,6.0,46.147,False,False
16390,60281,60283,21.188638,92.135912,21.188704,92.135881,6.0,7.992,False,False
16391,60285,60286,21.189636,92.136908,21.189583,92.136852,6.0,8.221,False,False
16392,60285,60288,21.189636,92.136908,21.189729,92.137006,6.0,14.512,False,False
16394,60292,60293,21.190524,92.136195,21.190511,92.136311,6.0,12.2,False,False
16395,60293,60304,21.190511,92.136311,21.190539,92.136547,6.5,26.128,False,False
16396,60297,60298,21.189043,92.135705,21.188832,92.135815,6.5,25.933,False,False
16397,60297,60301,21.189043,92.135705,21.189154,92.135648,7.5,13.723,False,False
16398,60301,60303,21.189154,92.135648,21.189232,92.135607,7.5,9.629,False,False
16399,60304,60305,21.190539,92.136547,21.190556,92.136653,6.0,11.109,False,False
16401,60286,60309,21.189583,92.136852,21.189533,92.136805,6.0,7.421,False,False
16403,60312,60317,21.191407,92.134914,21.191407,92.135162,6.5,25.7,False,False
16405,60319,60320,21.191232,92.135307,21.191356,92.135204,6.0,17.446,False,False
16406,60317,60320,21.191407,92.135162,21.191356,92.135204,6.0,7.081,False,False
16407,60311,60332,21.191193,92.133765,21.19131,92.133721,6.5,13.726,False,False
16408,60331,60332,21.191423,92.133678,21.19131,92.133721,6.0,13.26,False,False
16409,60312,60333,21.191407,92.134914,21.191255,92.134736,7.0,25.574,False,False
16410,60337,60340,21.185869,92.156912,21.185861,92.156882,6.0,3.256,False,False
16411,60340,60341,21.185861,92.156882,21.18584,92.156772,6.0,11.592,False,False
16415,60353,60356,21.183409,92.155858,21.183406,92.155831,6.5,2.817,False,False
