Landslide_ID,Latitude,Longitude,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred,intersects_buildings,GLG
202,21.209726,92.167083,6.024962158013426,6.108781484845452,6.214385312844158,1.0,7.0,1288.75927734375,1563.11572265625,1993.40234375,15.0,611.0,0,1,Tt
203,21.208072,92.166334,7.229082108416058,7.312901435248086,7.4185052623634,1.0,4.0,1288.75927734375,1563.11572265625,1993.40234375,15.0,611.0,0,1,Tt
204,21.209755,92.168029,6.325992153677406,6.710841443920124,6.816445271035438,1.0,1.0,1288.75927734375,1563.11572265625,1993.40234375,13.27089786529541,611.0,0,0,Tt
205,21.209247,92.167944,6.325992153677406,6.409811480509434,6.515415308508138,2.0,1.0,1288.75927734375,1563.11572265625,1993.40234375,13.370966911315918,611.0,0,0,Tt
206,21.209028,92.166768,6.502083391230894,6.585902718062922,6.69150655651826,1.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,14.0,611.0,0,1,Tt
207,21.207043,92.167713,7.347181437388636,7.431000764220662,7.536604596532516,1.0,1.0,1288.75927734375,1563.11572265625,1993.40234375,13.79196834564209,611.0,0,0,Tt
208,21.205337,92.164426,7.22908214066935,7.312901467501376,7.418505295500082,1.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,18.0,459.0,0,0,Tt
212,21.207746,92.166155,7.024962145112108,7.108781471944136,7.214385292962148,1.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,14.070759773254396,611.0,0,0,Tt
213,21.205936,92.165356,6.325992153677406,6.108781484845452,6.214385312844158,1.0,4.0,1288.75927734375,1563.11572265625,1993.40234375,23.0,459.0,0,1,Tt
265,21.204306,92.165866,6.024962158013426,6.108781484845452,6.214385312844158,1.0,3.0,1288.75927734375,1563.11572265625,1993.40234375,18.0,459.0,0,0,Tt
