Landslide_,Latitude,Longitude,Flow_accum,Flow_acc_1,Flow_acc_2,Slope_clas,Flow_direc,Runoff_10y,Runoff_20y,Runoff_50y,Fill_sinks,Basins,Landslid_1,intersects,GLG
"165",21.205293000000001,92.155332000000001,6.816399701584942,6.898361817408580,7.001925642395684,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,12.474593162536625,767.000000000000000,"0","0",QTg
"168",21.203446000000000,92.158477000000005,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.000000000000000,459.000000000000000,"0","0",QTg
"171",21.202755000000000,92.162227999999999,6.515369705920962,7.266338596559690,7.369902427690278,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.170828819274902,459.000000000000000,"0","0",QTg
"172",21.210592999999999,92.157994000000002,6.038248472703492,6.120210588527130,6.223774424440022,2.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,22.000000000000000,778.000000000000000,"0","0",QTg
"173",21.210214000000001,92.158985000000001,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.000000000000000,778.000000000000000,"0","1",QTg
"174",21.210443999999999,92.157525000000007,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,24.000000000000000,767.000000000000000,"0","0",QTg
"175",21.209999000000000,92.158619999999999,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,3.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.000000000000000,767.000000000000000,"0","0",QTg
"176",21.209817999999999,92.156786999999994,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.000000000000000,767.000000000000000,"0","0",QTg
"177",21.209143999999998,92.158011999999999,7.453221795864088,7.535183911687724,7.638747759938540,1.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.045698165893556,767.000000000000000,"0","0",QTg
"178",21.208203000000001,92.154512999999994,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,767.000000000000000,"0","1",QTg
